-------------------------------
T_j^H 	 T_j^L 	 CC_i'
22 	 49 	 830
23 	 49 	 834
24 	 49 	 840
25 	 49 	 844
26 	 49 	 844
27 	 49 	 850
28 	 49 	 854
29 	 49 	 854
30 	 49 	 860
31 	 49 	 860
32 	 49 	 864
33 	 49 	 864
34 	 49 	 870
35 	 49 	 870
36 	 49 	 874
37 	 49 	 874
38 	 49 	 874
39 	 49 	 879
40 	 49 	 879
41 	 49 	 879
42 	 49 	 885
43 	 49 	 885
44 	 49 	 885
45 	 49 	 885
46 	 49 	 889
47 	 49 	 889
10 	 50 	 699
11 	 50 	 719
12 	 50 	 739
13 	 50 	 754
14 	 50 	 770
15 	 50 	 780
16 	 50 	 789
17 	 50 	 799
18 	 50 	 809
19 	 50 	 814
20 	 50 	 824
21 	 50 	 830
22 	 50 	 834
23 	 50 	 840
24 	 50 	 844
25 	 50 	 850
26 	 50 	 850
27 	 50 	 854
28 	 50 	 860
29 	 50 	 860
30 	 50 	 864
31 	 50 	 864
32 	 50 	 870
33 	 50 	 870
34 	 50 	 874
35 	 50 	 874
36 	 50 	 879
37 	 50 	 879
38 	 50 	 879
39 	 50 	 885
40 	 50 	 885
41 	 50 	 885
42 	 50 	 889
43 	 50 	 889
44 	 50 	 889
45 	 50 	 889
46 	 50 	 895
47 	 50 	 895
48 	 50 	 895
10 	 51 	 699
11 	 51 	 719
12 	 51 	 739
13 	 51 	 754
14 	 51 	 770
15 	 51 	 780
16 	 51 	 789
17 	 51 	 799
18 	 51 	 809
19 	 51 	 814
20 	 51 	 824
21 	 51 	 830
22 	 51 	 834
23 	 51 	 840
24 	 51 	 844
25 	 51 	 850
26 	 51 	 850
27 	 51 	 854
28 	 51 	 860
29 	 51 	 860
30 	 51 	 864
31 	 51 	 864
32 	 51 	 870
33 	 51 	 870
34 	 51 	 874
35 	 51 	 874
36 	 51 	 879
37 	 51 	 879
38 	 51 	 879
39 	 51 	 885
40 	 51 	 885
41 	 51 	 885
42 	 51 	 889
43 	 51 	 889
44 	 51 	 889
45 	 51 	 889
46 	 51 	 895
47 	 51 	 895
48 	 51 	 895
49 	 51 	 895
10 	 52 	 699
11 	 52 	 719
12 	 52 	 739
13 	 52 	 754
14 	 52 	 770
15 	 52 	 780
16 	 52 	 789
17 	 52 	 799
18 	 52 	 809
19 	 52 	 814
20 	 52 	 824
21 	 52 	 830
22 	 52 	 834
23 	 52 	 840
24 	 52 	 844
25 	 52 	 850
26 	 52 	 850
27 	 52 	 854
28 	 52 	 860
29 	 52 	 860
30 	 52 	 864
31 	 52 	 864
32 	 52 	 870
33 	 52 	 870
34 	 52 	 874
35 	 52 	 874
36 	 52 	 879
37 	 52 	 879
38 	 52 	 879
39 	 52 	 885
40 	 52 	 885
41 	 52 	 885
42 	 52 	 889
43 	 52 	 889
44 	 52 	 889
45 	 52 	 889
46 	 52 	 895
47 	 52 	 895
48 	 52 	 895
49 	 52 	 895
50 	 52 	 899
10 	 53 	 699
11 	 53 	 719
12 	 53 	 739
13 	 53 	 754
14 	 53 	 770
15 	 53 	 780
16 	 53 	 789
17 	 53 	 799
18 	 53 	 809
19 	 53 	 814
20 	 53 	 824
21 	 53 	 830
22 	 53 	 834
23 	 53 	 840
24 	 53 	 844
25 	 53 	 850
26 	 53 	 850
27 	 53 	 854
28 	 53 	 860
29 	 53 	 860
30 	 53 	 864
31 	 53 	 864
32 	 53 	 870
33 	 53 	 870
34 	 53 	 874
35 	 53 	 874
